EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 16-05-2022
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 RR   : Precipitation amount in 0.1 mm
30-34 Q_RR : quality code for RR (0='valid'; 1='suspect'; 9='missing')

This is the non-blended series (SOUID: 234717) of station KREMS, AUSTRIA (STAID:  24702)

 STAID,    SOUID,    DATE,   RR, Q_RR
 24702,234717,19360611,   32,    0
 24702,234717,19360612,   73,    0
 24702,234717,19360613,    0,    0
 24702,234717,19360614,    0,    0
 24702,234717,19360615,    4,    0
 24702,234717,19360616,    0,    0
 24702,234717,19360617,    0,    0
 24702,234717,19360618,    0,    0
 24702,234717,19360619,    0,    0
 24702,234717,19360620,    0,    0
 24702,234717,19360621,    0,    0
 24702,234717,19360622,    0,    0
 24702,234717,19360623,    0,    0
 24702,234717,19360624,   18,    0
 24702,234717,19360625,    0,    0
 24702,234717,19360626,    4,    0
 24702,234717,19360627,    0,    0
 24702,234717,19360628,    0,    0
 24702,234717,19360629,    0,    0
 24702,234717,19360630,   74,    0
 24702,234717,19360701,    0,    0
 24702,234717,19360702,   45,    0
 24702,234717,19360703,    0,    0
 24702,234717,19360704,    0,    0
 24702,234717,19360705,    0,    0
 24702,234717,19360706,    0,    0
 24702,234717,19360707,    0,    0
 24702,234717,19360708,   25,    0
 24702,234717,19360709,   48,    0
 24702,234717,19360710,    0,    0
 24702,234717,19360711,   27,    0
 24702,234717,19360712,  261,    0
 24702,234717,19360713,   48,    0
 24702,234717,19360714,    0,    0
 24702,234717,19360715,   32,    0
 24702,234717,19360716,   19,    0
 24702,234717,19360717,    0,    0
 24702,234717,19360718,    0,    0
 24702,234717,19360719,  120,    0
 24702,234717,19360720,   30,    0
 24702,234717,19360721,  103,    0
 24702,234717,19360722,   55,    0
 24702,234717,19360723,   17,    0
 24702,234717,19360724,    0,    0
 24702,234717,19360725,   29,    0
 24702,234717,19360726,    0,    0
 24702,234717,19360727,    0,    0
 24702,234717,19360728,    0,    0
 24702,234717,19360729,    1,    0
 24702,234717,19360730,   18,    0
 24702,234717,19360731,   84,    0
 24702,234717,19360801,    0,    0
 24702,234717,19360802,   37,    0
 24702,234717,19360803,   32,    0
 24702,234717,19360804,   77,    0
 24702,234717,19360805,    0,    0
 24702,234717,19360806,    0,    0
 24702,234717,19360807,    0,    0
 24702,234717,19360808,    0,    0
 24702,234717,19360809,    0,    0
 24702,234717,19360810,    0,    0
 24702,234717,19360811,    0,    0
 24702,234717,19360812,   36,    0
 24702,234717,19360813,    0,    0
 24702,234717,19360814,    0,    0
 24702,234717,19360815,    0,    0
 24702,234717,19360816,    0,    0
 24702,234717,19360817,    0,    0
 24702,234717,19360818,    0,    0
 24702,234717,19360819,   32,    0
 24702,234717,19360820,   25,    0
 24702,234717,19360821,    0,    0
 24702,234717,19360822,    1,    0
 24702,234717,19360823,    0,    0
 24702,234717,19360824,    0,    0
 24702,234717,19360825,    0,    0
 24702,234717,19360826,    0,    0
 24702,234717,19360827,    0,    0
 24702,234717,19360828,    0,    0
 24702,234717,19360829,    0,    0
 24702,234717,19360830,    0,    0
 24702,234717,19360831,   10,    0
 24702,234717,19360901,    0,    0
 24702,234717,19360902,    0,    0
 24702,234717,19360903,    0,    0
 24702,234717,19360904,    0,    0
 24702,234717,19360905,    2,    0
 24702,234717,19360906,   57,    0
 24702,234717,19360907,    8,    0
 24702,234717,19360908,    0,    0
 24702,234717,19360909,   27,    0
 24702,234717,19360910,   19,    0
 24702,234717,19360911,    0,    0
 24702,234717,19360912,    0,    0
 24702,234717,19360913,    0,    0
 24702,234717,19360914,    0,    0
 24702,234717,19360915,    0,    0
 24702,234717,19360916,    0,    0
 24702,234717,19360917,    0,    0
 24702,234717,19360918,    0,    0
 24702,234717,19360919,    0,    0
 24702,234717,19360920,    0,    0
 24702,234717,19360921,   55,    0
 24702,234717,19360922,    0,    0
 24702,234717,19360923,    0,    0
 24702,234717,19360924,    0,    0
 24702,234717,19360925,    0,    0
 24702,234717,19360926,    8,    0
 24702,234717,19360927,    0,    0
