gkz5;gemeindename;bkz;politischer_bezirk;bundesland;mc;merkmal;einheit;ressort;jahr;wert
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2000,00;487,33
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2001,00;474,84
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2002,00;507,81
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2003,00;485,93
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2004,00;484,74
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2005,00;491,66
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2006,00;436,33
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2007,00;401,35
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2008,00;413,29
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2009,00;412,06
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2010,00;445,33
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2011,00;441,95
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2012,00;428,24
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2013,00;426,65
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2014,00;374,27
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2015,00;319,17
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2016,00;316,20
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2017,00;338,47
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2018,00;349,30
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2019,00;345,43
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2020,00;254,76
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;30,00;Weingärten;ha;BMLRT;2021,00;259,45
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2000,00;316,41
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2001,00;318,26
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2002,00;323,13
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2003,00;325,37
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2004,00;334,83
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2005,00;336,75
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2006,00;315,49
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2007,00;312,51
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2008,00;317,49
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2009,00;318,04
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2010,00;326,74
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2011,00;329,28
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2012,00;333,30
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2013,00;322,23
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2014,00;288,48
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2015,00;258,37
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2016,00;264,57
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2017,00;266,13
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2018,00;282,78
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2019,00;281,17
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2020,00;370,69
10201,00;Rust;102,00;Rust;BURGENLAND;30,00;Weingärten;ha;BMLRT;2021,00;386,39
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2000,00;105,54
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2001,00;99,53
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2002,00;102,58
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2003,00;99,39
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2004,00;102,85
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2005,00;116,85
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2006,00;104,35
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2007,00;107,41
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2008,00;91,13
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2009,00;82,84
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2010,00;85,04
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2011,00;81,43
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2012,00;81,01
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2013,00;81,07
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2014,00;75,16
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2015,00;74,32
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2016,00;79,58
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2017,00;82,59
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2018,00;90,14
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2019,00;91,39
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2020,00;100,41
10301,00;Breitenbrunn am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2021,00;142,17
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2000,00;235,81
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2001,00;223,83
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2002,00;193,68
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2003,00;194,91
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2004,00;195,15
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2005,00;199,46
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2006,00;162,97
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2007,00;146,73
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2008,00;96,29
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2009,00;94,09
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2010,00;146,27
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2011,00;177,97
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2012,00;175,37
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2013,00;174,76
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2014,00;171,63
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2015,00;173,76
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2016,00;175,09
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2017,00;175,37
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2018,00;177,23
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2019,00;179,30
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2020,00;235,11
10302,00;Donnerskirchen;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2021,00;231,67
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2000,00;196,98
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2001,00;176,09
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2002,00;167,73
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2003,00;169,48
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2004,00;167,79
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;30,00;Weingärten;ha;BMLRT;2005,00;168,91
