gkz5;gemeindename;bkz;politischer_bezirk;bundesland;mc;merkmal;einheit;ressort;jahr;wert
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2000,00;205,62
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2001,00;221,11
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2002,00;220,26
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2003,00;179,65
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2004,00;251,09
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2005,00;236,06
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2006,00;202,31
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2007,00;245,26
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2008,00;136,60
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2009,00;236,00
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2010,00;251,95
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2011,00;192,76
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2012,00;269,80
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1015,00;Winterweichweizen;ha;BMLRT;2013,00;187,42
