gkz5;gemeindename;bkz;politischer_bezirk;bundesland;mc;merkmal;einheit;ressort;jahr;wert
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;29,69
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;25,40
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2002,00;14,01
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2003,00;17,99
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2004,00;20,14
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2005,00;22,57
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2006,00;15,78
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2007,00;27,01
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2008,00;33,22
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2009,00;13,58
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2011,00;41,65
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2016,00;24,34
10101,00;Eisenstadt;101,00;Eisenstadt(Stadt);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2017,00;31,65
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;60,93
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;32,54
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2002,00;39,15
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2003,00;60,79
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2004,00;79,20
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2005,00;51,54
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2007,00;60,60
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2008,00;97,29
10303,00;Großhöflein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2009,00;66,31
10304,00;Hornstein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;24,99
10304,00;Hornstein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;28,19
10304,00;Hornstein;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2003,00;39,44
10305,00;Klingenbach;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;27,33
10305,00;Klingenbach;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;29,97
10305,00;Klingenbach;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2021,00;57,11
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;107,58
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;82,63
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2002,00;63,14
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2003,00;108,29
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2004,00;119,59
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2005,00;100,69
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2006,00;65,29
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2007,00;81,29
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2008,00;75,27
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2009,00;99,25
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2010,00;114,22
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2011,00;86,85
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2012,00;124,73
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2013,00;59,44
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2014,00;69,27
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2015,00;102,97
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2016,00;168,80
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2017,00;163,44
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2018,00;142,92
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2019,00;115,50
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2020,00;145,49
10306,00;Leithaprodersdorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2021,00;196,43
10308,00;Müllendorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;32,87
10308,00;Müllendorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;26,01
10308,00;Müllendorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2002,00;17,99
10308,00;Müllendorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2003,00;21,78
10308,00;Müllendorf;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2005,00;22,35
10309,00;Neufeld an der Leitha;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2011,00;47,43
10309,00;Neufeld an der Leitha;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2015,00;43,84
10310,00;Oggau am Neusiedler See;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;18,99
10311,00;Oslip;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;8,03
10311,00;Oslip;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;9,34
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2000,00;225,95
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2001,00;153,58
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2002,00;95,45
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2003,00;106,42
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2004,00;91,22
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2005,00;91,81
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2006,00;78,60
10316,00;Steinbrunn;103,00;Eisenstadt (Land);BURGENLAND;1017,00;Hartweizen (Durum);ha;BMLRT;2007,00;34,81
