Seibersdorf;185m;26.8°;39 %;West, 21 km/h;50 km/h;0.0 mm;100 %;1016.4 hPa;2022-05-21 16:50:03
Bad Vöslau;266m;25.3°;34 %;West, 18 km/h;46 km/h;0.0 mm;100 %;n.v.;2022-05-21 16:50:03
Berndorf;337m;24.8°;36 %;Nordwest, 8 km/h;31 km/h;0.0 mm;100 %;1016.8 hPa;2022-05-21 16:50:03
Gutenstein/Mariahilfbg.;710m;21.9°;36 %;Südost, 3 km/h;35 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 16:50:03
Wiener Neustadt;281m;26.7°;31 %;West, 26 km/h;52 km/h;0.0 mm;100 %;1015.7 hPa;2022-05-21 16:50:03
Hohe Wand;937m;20.2°;38 %;West, 4 km/h;34 km/h;0.0 mm;100 %;k.A.;2022-05-21 16:50:03
Puchberg/Schneeberg;586m;24.0°;32 %;West, 11 km/h;52 km/h;0.0 mm;100 %;1015.5 hPa;2022-05-21 16:50:03
Rax/Bergstation;1558m;15.2°;52 %;West, 7 km/h;43 km/h;0.0 mm;99 %;k.A.;2022-05-21 16:50:03
Reichenau/Rax;488m;25.1°;31 %;West, 11 km/h;38 km/h;0.0 mm;87 %;1015.4 hPa;2022-05-21 16:50:03
Pottschach;419m;26.2°;30 %;West, 10 km/h;36 km/h;0.0 mm;99 %;1015.2 hPa;2022-05-21 16:50:03
Semmering/Pass;991m;21.2°;38 %;West, 16 km/h;39 km/h;0.0 mm;99 %;k.A.;2022-05-21 16:50:03
Hirschenkogel;1320m;18.0°;42 %;West, 15 km/h;45 km/h;0.0 mm;100 %;k.A.;2022-05-21 16:50:03
Aspang;456m;25.6°;31 %;Nord, 8 km/h;36 km/h;0.0 mm;99 %;1015.1 hPa;2022-05-21 16:50:03
Krumbach;542m;26.4°;26 %;West, 16 km/h;41 km/h;0.0 mm;100 %;1014.6 hPa;2022-05-21 16:50:03
Mönichkirchen;990m;22.2°;32 %;West, 6 km/h;36 km/h;0.0 mm;85 %;k.A.;2022-05-21 16:50:03
Litschau;557m;20.5°;43 %;Nordwest, 10 km/h;35 km/h;0.0 mm;43 %;1016.8 hPa;2022-05-21 17:50:04
Weitra;570m;21.2°;38 %;West, 22 km/h;47 km/h;0.0 mm;100 %;1016.7 hPa;2022-05-21 17:50:04
Zwettl;505m;21.6°;38 %;West, 8 km/h;36 km/h;0.0 mm;99 %;1016.9 hPa;2022-05-21 17:50:04
Raabs/Thaya;456m;22.1°;40 %;Nordwest, 14 km/h;39 km/h;0.0 mm;84 %;1016.3 hPa;2022-05-21 17:50:04
Allentsteig;607m;20.1°;39 %;West, 16 km/h;45 km/h;0.0 mm;100 %;1016.7 hPa;2022-05-21 17:50:04
Horn;309m;23.2°;35 %;West, 28 km/h;48 km/h;0.0 mm;100 %;1014.4 hPa;2022-05-21 17:50:04
