Schwechat Flughafen;183m;24.6°;31 %;Nordwest, 28 km/h;54 km/h;0.0 mm;100 %;1015.2 hPa;2022-05-21 19:50:02
Brunn am Gebirge;290m;23.4°;32 %;Nordwest, 13 km/h;44 km/h;n.v.;100 %;1015.5 hPa;2022-05-21 19:50:02
Wien Hohe Warte;209m;21.8°;39 %;Nordwest, 13 km/h;34 km/h;0.0 mm;82 %;1015.7 hPa;2022-05-21 20:50:02
Wien Innere Stadt;177m;23.5°;33 %;Nordwest, 17 km/h;41 km/h;0.0 mm;81 %;1015.8 hPa;2022-05-21 20:50:02
Wien Stammersdorf;188m;21.3°;41 %;Nordwest, 9 km/h;26 km/h;0.0 mm;100 %;1015.9 hPa;2022-05-21 20:50:02
Wien Donaufeld;162m;22.8°;36 %;Nordwest, 8 km/h;30 km/h;0.0 mm;89 %;1015.5 hPa;2022-05-21 20:50:02
Wien Unterlaa;200m;22.8°;33 %;Nordwest, 16 km/h;38 km/h;0.0 mm;94 %;1015.5 hPa;2022-05-21 20:50:02
Wien Mariabrunn;227m;21.0°;43 %;West, 7 km/h;21 km/h;0.0 mm;78 %;1016.0 hPa;2022-05-21 20:50:02
Wien Jubiläumswarte;451m;18.1°;53 %;Nordwest, 25 km/h;43 km/h;0.0 mm;84 %;1016.3 hPa;2022-05-21 20:50:02
Groß-Enzersdorf;153m;22.5°;38 %;Nordwest, 18 km/h;30 km/h;0.0 mm;88 %;1015.8 hPa;2022-05-21 20:50:02
Schwechat Flughafen;183m;22.4°;37 %;Nordwest, 21 km/h;43 km/h;0.0 mm;88 %;1015.7 hPa;2022-05-21 20:50:02
Brunn am Gebirge;290m;21.5°;37 %;Nordwest, 8 km/h;29 km/h;n.v.;66 %;1015.9 hPa;2022-05-21 20:50:02
Wien Hohe Warte;209m;20.1°;45 %;Nord, 10 km/h;25 km/h;0.0 mm;8 %;1016.7 hPa;2022-05-21 21:50:04
Wien Innere Stadt;177m;22.2°;36 %;Nordwest, 14 km/h;35 km/h;0.0 mm;10 %;1016.6 hPa;2022-05-21 21:50:04
Wien Stammersdorf;188m;18.5°;53 %;Nordwest, 7 km/h;17 km/h;0.0 mm;4 %;1016.9 hPa;2022-05-21 21:50:04
Wien Donaufeld;162m;20.8°;45 %;Nordwest, 4 km/h;18 km/h;0.0 mm;11 %;1016.5 hPa;2022-05-21 21:50:04
Wien Unterlaa;200m;21.1°;38 %;Nordwest, 13 km/h;30 km/h;0.0 mm;11 %;1016.4 hPa;2022-05-21 21:50:04
Wien Mariabrunn;227m;18.7°;47 %;West, 4 km/h;14 km/h;0.0 mm;0 %;1016.9 hPa;2022-05-21 21:50:04
Wien Jubiläumswarte;451m;16.9°;54 %;Nordwest, 28 km/h;44 km/h;0.0 mm;10 %;1017.1 hPa;2022-05-21 21:50:04
Groß-Enzersdorf;153m;19.7°;52 %;Nordwest, 10 km/h;24 km/h;0.0 mm;14 %;1016.8 hPa;2022-05-21 21:50:04
Schwechat Flughafen;183m;19.2°;46 %;Nord, 13 km/h;34 km/h;0.0 mm;11 %;1016.7 hPa;2022-05-21 21:50:04
Brunn am Gebirge;290m;19.8°;42 %;Nordwest, 8 km/h;25 km/h;n.v.;0 %;1016.8 hPa;2022-05-21 21:50:04
Wien Hohe Warte;209m;19.0°;47 %;Nordwest, 13 km/h;24 km/h;0.0 mm;0 %;1017.2 hPa;2022-05-21 22:50:02
Wien Innere Stadt;177m;20.9°;41 %;Nordwest, 18 km/h;30 km/h;0.0 mm;0 %;1017.3 hPa;2022-05-21 22:50:02
Wien Stammersdorf;188m;17.3°;55 %;Nordwest, 8 km/h;14 km/h;0.0 mm;0 %;1017.5 hPa;2022-05-21 22:50:02
Wien Donaufeld;162m;19.1°;49 %;Nord, 4 km/h;17 km/h;0.0 mm;0 %;1017.3 hPa;2022-05-21 22:50:02
Wien Unterlaa;200m;19.4°;45 %;Nordwest, 16 km/h;30 km/h;0.0 mm;0 %;1017.0 hPa;2022-05-21 22:50:02
Wien Mariabrunn;227m;15.8°;67 %;Nord, 3 km/h;8 km/h;0.0 mm;0 %;1017.8 hPa;2022-05-21 22:50:02
Wien Jubiläumswarte;451m;16.1°;58 %;Nordwest, 28 km/h;42 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-21 22:50:02
Groß-Enzersdorf;153m;18.8°;53 %;Nordwest, 12 km/h;17 km/h;0.0 mm;0 %;1017.2 hPa;2022-05-21 22:50:02
Schwechat Flughafen;183m;18.2°;52 %;Nord, 15 km/h;24 km/h;0.0 mm;0 %;1017.3 hPa;2022-05-21 22:50:02
Brunn am Gebirge;290m;18.1°;48 %;Nordwest, 5 km/h;18 km/h;n.v.;0 %;1017.5 hPa;2022-05-21 22:50:02
Wien Hohe Warte;209m;18.2°;49 %;Nordwest, 13 km/h;25 km/h;0.0 mm;0 %;1017.8 hPa;2022-05-21 23:50:03
Wien Innere Stadt;177m;20.0°;43 %;Nordwest, 11 km/h;36 km/h;0.0 mm;0 %;1017.7 hPa;2022-05-21 23:50:03
Wien Stammersdorf;188m;17.1°;54 %;Nordwest, 7 km/h;11 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-21 23:50:03
Wien Donaufeld;162m;18.0°;54 %;Nordwest, 4 km/h;16 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-21 23:50:03
Wien Unterlaa;200m;18.7°;46 %;Nordwest, 13 km/h;27 km/h;0.0 mm;0 %;1017.5 hPa;2022-05-21 23:50:03
Wien Mariabrunn;227m;14.8°;68 %;Windstille;7 km/h;0.0 mm;0 %;1018.2 hPa;2022-05-21 23:50:03
Wien Jubiläumswarte;451m;15.5°;56 %;Nordwest, 27 km/h;47 km/h;0.0 mm;0 %;1018.1 hPa;2022-05-21 23:50:03
Groß-Enzersdorf;153m;17.5°;57 %;Nordwest, 14 km/h;19 km/h;0.0 mm;0 %;1017.7 hPa;2022-05-21 23:50:03
Schwechat Flughafen;183m;16.9°;55 %;Nordwest, 13 km/h;24 km/h;0.0 mm;0 %;1017.8 hPa;2022-05-21 23:50:03
Brunn am Gebirge;290m;17.2°;53 %;Nordwest, 6 km/h;16 km/h;n.v.;0 %;1018.1 hPa;2022-05-21 23:50:03
Wien Hohe Warte;209m;17.0°;52 %;Nordwest, 13 km/h;26 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 00:50:03
Wien Innere Stadt;177m;19.2°;44 %;Nordwest, 10 km/h;25 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 00:50:03
Wien Stammersdorf;188m;15.3°;62 %;Nordwest, 7 km/h;16 km/h;0.0 mm;0 %;1018.1 hPa;2022-05-22 00:50:03
Wien Donaufeld;162m;17.2°;55 %;Nordwest, 4 km/h;18 km/h;0.0 mm;0 %;1017.7 hPa;2022-05-22 00:50:03
Wien Unterlaa;200m;17.2°;51 %;Nordwest, 9 km/h;19 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 00:50:03
Wien Mariabrunn;227m;13.2°;79 %;Nord, 1 km/h;4 km/h;0.0 mm;0 %;1018.5 hPa;2022-05-22 00:50:03
Wien Jubiläumswarte;451m;14.3°;62 %;Nordwest, 21 km/h;39 km/h;0.0 mm;0 %;1018.4 hPa;2022-05-22 00:50:03
Groß-Enzersdorf;153m;16.6°;59 %;Nordwest, 9 km/h;20 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 00:50:03
Schwechat Flughafen;183m;16.3°;56 %;Nordwest, 11 km/h;17 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 00:50:03
Brunn am Gebirge;290m;16.9°;52 %;Nordwest, 7 km/h;18 km/h;n.v.;0 %;1018.3 hPa;2022-05-22 00:50:03
Wien Hohe Warte;209m;15.9°;55 %;Nordwest, 11 km/h;22 km/h;0.0 mm;0 %;1018.1 hPa;2022-05-22 01:50:02
Wien Innere Stadt;177m;18.4°;47 %;Nordwest, 11 km/h;22 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 01:50:02
Wien Stammersdorf;188m;14.3°;64 %;Nordwest, 5 km/h;10 km/h;0.0 mm;0 %;1018.4 hPa;2022-05-22 01:50:02
Wien Donaufeld;162m;16.3°;57 %;Nordwest, 5 km/h;12 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 01:50:02
Wien Unterlaa;200m;15.8°;58 %;West, 13 km/h;18 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 01:50:02
Wien Mariabrunn;227m;11.8°;86 %;Nordwest, 1 km/h;5 km/h;0.0 mm;0 %;1018.8 hPa;2022-05-22 01:50:02
Wien Jubiläumswarte;451m;13.3°;67 %;Nordwest, 21 km/h;27 km/h;0.0 mm;0 %;1018.6 hPa;2022-05-22 01:50:02
Groß-Enzersdorf;153m;16.2°;58 %;West, 7 km/h;14 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 01:50:02
Schwechat Flughafen;183m;16.2°;56 %;Nordwest, 13 km/h;18 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 01:50:02
Brunn am Gebirge;290m;16.2°;54 %;West, 6 km/h;18 km/h;n.v.;0 %;1018.3 hPa;2022-05-22 01:50:02
Wien Hohe Warte;209m;15.0°;61 %;Nordwest, 13 km/h;18 km/h;0.0 mm;0 %;1018.1 hPa;2022-05-22 02:50:03
Wien Innere Stadt;177m;17.6°;49 %;Nordwest, 7 km/h;22 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 02:50:03
Wien Stammersdorf;188m;14.2°;63 %;West, 6 km/h;11 km/h;0.0 mm;0 %;1018.2 hPa;2022-05-22 02:50:03
Wien Donaufeld;162m;15.7°;58 %;Nordwest, 5 km/h;14 km/h;0.0 mm;0 %;1017.8 hPa;2022-05-22 02:50:03
Wien Unterlaa;200m;14.7°;63 %;Nordwest, 11 km/h;17 km/h;0.0 mm;0 %;1017.8 hPa;2022-05-22 02:50:03
Wien Mariabrunn;227m;11.4°;88 %;Nord, 1 km/h;3 km/h;0.0 mm;0 %;1018.6 hPa;2022-05-22 02:50:03
Wien Jubiläumswarte;451m;13.1°;68 %;Nordwest, 21 km/h;32 km/h;0.0 mm;0 %;1018.4 hPa;2022-05-22 02:50:03
Groß-Enzersdorf;153m;15.4°;62 %;Nordwest, 9 km/h;14 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 02:50:03
Schwechat Flughafen;183m;14.8°;62 %;Nordwest, 15 km/h;18 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 02:50:03
Brunn am Gebirge;290m;15.9°;55 %;West, 8 km/h;20 km/h;n.v.;0 %;1018.2 hPa;2022-05-22 02:50:03
Wien Hohe Warte;209m;15.0°;60 %;Nordwest, 11 km/h;19 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 03:50:04
Wien Innere Stadt;177m;17.3°;51 %;Nordwest, 9 km/h;22 km/h;0.0 mm;0 %;1017.7 hPa;2022-05-22 03:50:04
Wien Stammersdorf;188m;13.5°;67 %;Nordwest, 4 km/h;13 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 03:50:04
Wien Donaufeld;162m;15.2°;62 %;Nordwest, 5 km/h;16 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 03:50:04
Wien Unterlaa;200m;15.0°;61 %;Nordwest, 10 km/h;16 km/h;0.0 mm;0 %;1017.4 hPa;2022-05-22 03:50:04
Wien Mariabrunn;227m;11.6°;88 %;Nordost, 1 km/h;5 km/h;0.0 mm;0 %;1018.4 hPa;2022-05-22 03:50:04
Wien Jubiläumswarte;451m;13.1°;69 %;Nordwest, 17 km/h;28 km/h;0.0 mm;0 %;1018.2 hPa;2022-05-22 03:50:04
Groß-Enzersdorf;153m;15.3°;61 %;Nordwest, 12 km/h;17 km/h;0.0 mm;0 %;1017.8 hPa;2022-05-22 03:50:04
Schwechat Flughafen;183m;15.0°;59 %;Nordwest, 17 km/h;24 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 03:50:04
Brunn am Gebirge;290m;15.0°;59 %;Nordwest, 8 km/h;19 km/h;n.v.;0 %;1017.8 hPa;2022-05-22 03:50:04
Wien Hohe Warte;209m;14.6°;61 %;Nordwest, 12 km/h;19 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 04:50:02
Wien Innere Stadt;177m;16.6°;53 %;Nordwest, 12 km/h;22 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 04:50:02
Wien Stammersdorf;188m;13.5°;66 %;Nordwest, 7 km/h;12 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 04:50:02
Wien Donaufeld;162m;14.4°;65 %;Nordwest, 4 km/h;13 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 04:50:02
Wien Unterlaa;200m;14.0°;66 %;Nordwest, 9 km/h;16 km/h;0.0 mm;0 %;1017.5 hPa;2022-05-22 04:50:02
Wien Mariabrunn;227m;11.1°;90 %;Nord, 1 km/h;3 km/h;0.0 mm;0 %;1018.3 hPa;2022-05-22 04:50:02
Wien Jubiläumswarte;451m;11.9°;72 %;Nordwest, 16 km/h;21 km/h;0.0 mm;0 %;1018.3 hPa;2022-05-22 04:50:02
Groß-Enzersdorf;153m;14.1°;68 %;Nordwest, 10 km/h;16 km/h;0.0 mm;0 %;1017.7 hPa;2022-05-22 04:50:02
Schwechat Flughafen;183m;14.2°;63 %;Nordwest, 17 km/h;24 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 04:50:02
Brunn am Gebirge;290m;14.7°;61 %;Nordwest, 7 km/h;18 km/h;n.v.;0 %;1017.8 hPa;2022-05-22 04:50:02
Wien Hohe Warte;209m;14.5°;63 %;Nordwest, 12 km/h;18 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 05:50:02
Wien Innere Stadt;177m;16.3°;55 %;Nordwest, 11 km/h;22 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 05:50:02
Wien Stammersdorf;188m;13.3°;68 %;Nordwest, 5 km/h;12 km/h;0.0 mm;0 %;1017.9 hPa;2022-05-22 05:50:02
Wien Donaufeld;162m;14.5°;64 %;Nordwest, 5 km/h;14 km/h;0.0 mm;0 %;1017.6 hPa;2022-05-22 05:50:02
Wien Unterlaa;200m;14.5°;62 %;Nordwest, 12 km/h;22 km/h;0.0 mm;0 %;1017.4 hPa;2022-05-22 05:50:02
Wien Mariabrunn;227m;10.8°;92 %;Südwest, 1 km/h;4 km/h;0.0 mm;0 %;1018.2 hPa;2022-05-22 05:50:02
Wien Jubiläumswarte;451m;11.8°;74 %;Nordwest, 16 km/h;20 km/h;0.0 mm;0 %;1018.0 hPa;2022-05-22 05:50:02
Groß-Enzersdorf;153m;14.7°;64 %;Nordwest, 9 km/h;16 km/h;0.0 mm;0 %;1017.7 hPa;2022-05-22 05:50:02
Schwechat Flughafen;183m;14.6°;60 %;Nordwest, 18 km/h;26 km/h;0.0 mm;0 %;1017.4 hPa;2022-05-22 05:50:02
Brunn am Gebirge;290m;14.3°;62 %;Nordwest, 8 km/h;17 km/h;n.v.;0* %;1017.7 hPa;2022-05-22 05:50:02
Wien Hohe Warte;209m;14.5°;61 %;Nordwest, 10 km/h;18 km/h;0.0 mm;10 %;1017.5 hPa;2022-05-22 06:50:02
Wien Innere Stadt;177m;16.0°;55 %;Nordwest, 9 km/h;20 km/h;0.0 mm;15 %;1017.6 hPa;2022-05-22 06:50:02
Wien Stammersdorf;188m;13.7°;65 %;Nordwest, 7 km/h;14 km/h;0.0 mm;11 %;1017.7 hPa;2022-05-22 06:50:02
Wien Donaufeld;162m;14.5°;65 %;West, 4 km/h;12 km/h;0.0 mm;0 %;1017.4 hPa;2022-05-22 06:50:02
Wien Unterlaa;200m;14.3°;66 %;Nordwest, 9 km/h;20 km/h;0.0 mm;10 %;1017.3 hPa;2022-05-22 06:50:02
Wien Mariabrunn;227m;11.2°;86 %;West, 4 km/h;10 km/h;0.0 mm;0 %;1018.2 hPa;2022-05-22 06:50:02
Wien Jubiläumswarte;451m;11.5°;75 %;Nordwest, 19 km/h;24 km/h;0.0 mm;16 %;1018.1 hPa;2022-05-22 06:50:02
Groß-Enzersdorf;153m;15.2°;63 %;Nordwest, 10 km/h;15 km/h;0.0 mm;14 %;1017.5 hPa;2022-05-22 06:50:02
Schwechat Flughafen;183m;15.1°;58 %;Nordwest, 15 km/h;26 km/h;0.0 mm;24 %;1017.4 hPa;2022-05-22 06:50:02
Brunn am Gebirge;290m;14.0°;64 %;Nordwest, 7 km/h;18 km/h;n.v.;19 %;1017.8 hPa;2022-05-22 06:50:02
Wien Hohe Warte;209m;15.9°;56 %;Nordwest, 16 km/h;28 km/h;0.0 mm;97 %;1017.5 hPa;2022-05-22 07:50:03
Wien Innere Stadt;177m;16.4°;52 %;Nordwest, 16 km/h;26 km/h;0.0 mm;90 %;1017.6 hPa;2022-05-22 07:50:03
Wien Stammersdorf;188m;15.7°;61 %;Nordwest, 8 km/h;17 km/h;0.0 mm;91 %;1017.7 hPa;2022-05-22 07:50:03
Wien Donaufeld;162m;16.2°;60 %;Nordwest, 6 km/h;13 km/h;0.0 mm;1 %;1017.6 hPa;2022-05-22 07:50:03
Wien Unterlaa;200m;15.9°;62 %;West, 8 km/h;14 km/h;0.0 mm;77 %;1017.3 hPa;2022-05-22 07:50:03
Wien Mariabrunn;227m;13.8°;73 %;Nordwest, 2 km/h;11 km/h;0.0 mm;30 %;1018.0 hPa;2022-05-22 07:50:03
Wien Jubiläumswarte;451m;12.5°;71 %;Nordwest, 18 km/h;27 km/h;0.0 mm;99 %;1017.9 hPa;2022-05-22 07:50:03
Groß-Enzersdorf;153m;15.7°;59 %;Nordwest, 12 km/h;19 km/h;0.0 mm;71 %;1017.6 hPa;2022-05-22 07:50:03
