Eisenstadt;182m;17.7°;67 %;Ost, 7 km/h;16 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-24 00:50:04
Andau;119m;17.7°;60 %;Südost, 10 km/h;19 km/h;0.0 mm;0 %;1008.0 hPa;2022-05-24 00:50:04
Mattersburg;284m;17.4°;66 %;Süd, 14 km/h;36 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-24 00:50:04
Neudorf/Landsee;429m;15.2°;81 %;Süd, 12 km/h;27 km/h;0.7 mm;0 %;n.v.;2022-05-24 00:50:04
Lutzmannsburg;200m;16.4°;80 %;West, 2 km/h;10 km/h;0.0 mm;0 %;1007.8 hPa;2022-05-24 00:50:04
Bernstein;633m;13.7°;90 %;Süd, 5 km/h;24 km/h;1.4 mm;0 %;1007.8 hPa;2022-05-24 00:50:04
Rechnitz;309m;16.8°;72 %;West, 11 km/h;25 km/h;0.5 mm;0 %;1008.1 hPa;2022-05-24 00:50:04
Bad Tatzmannsdorf;347m;15.3°;89 %;Süd, 3 km/h;13 km/h;3.3 mm;n.v.;n.v.;2022-05-24 00:50:04
Kroisegg;446m;14.5°;95 %;Nordwest, 4 km/h;15 km/h;4.5 mm;0 %;1008.3 hPa;2022-05-24 00:50:04
Kleinzicken;267m;16.0°;82 %;Nord, 5 km/h;28 km/h;0.7 mm;0 %;1007.9 hPa;2022-05-24 00:50:04
Wörterberg;404m;15.2°;86 %;Südwest, 4 km/h;22 km/h;2.6 mm;0 %;1007.5 hPa;2022-05-24 00:50:04
Güssing;217m;18.2°;68 %;Nordwest, 9 km/h;16 km/h;0.0 mm;0 %;1007.8 hPa;2022-05-24 00:50:04
Bruckneudorf;166m;17.2°;62 %;Südost, 11 km/h;30 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-24 01:50:04
Neusiedl am See;119m;16.6°;69 %;Südost, 5 km/h;14 km/h;0.1 mm;0 %;1007.1 hPa;2022-05-24 01:50:04
Podersdorf;116m;17.5°;65 %;Südost, 9 km/h;21 km/h;0.0 mm;0 %;n.v.;2022-05-24 01:50:04
Eisenstadt;182m;16.7°;77 %;Ost, 5 km/h;12 km/h;0.5 mm;0 %;1006.4 hPa;2022-05-24 01:50:04
Andau;119m;16.8°;68 %;Südost, 4 km/h;14 km/h;0.0 mm;0 %;1007.5 hPa;2022-05-24 01:50:04
Mattersburg;284m;16.3°;73 %;Südost, 5 km/h;27 km/h;0.0 mm;0 %;1006.4 hPa;2022-05-24 01:50:04
Neudorf/Landsee;429m;14.4°;89 %;Südwest, 7 km/h;16 km/h;1.0 mm;0 %;n.v.;2022-05-24 01:50:04
Lutzmannsburg;200m;15.1°;88 %;West, 7 km/h;12 km/h;2.4 mm;0 %;1007.7 hPa;2022-05-24 01:50:04
Bernstein;633m;12.9°;95 %;West, 4 km/h;16 km/h;0.6 mm;0 %;1007.7 hPa;2022-05-24 01:50:04
Rechnitz;309m;15.0°;83 %;Nord, 6 km/h;17 km/h;2.1 mm;0 %;1006.4 hPa;2022-05-24 01:50:04
Bad Tatzmannsdorf;347m;14.8°;92 %;Nordwest, 1 km/h;13 km/h;1.2 mm;n.v.;n.v.;2022-05-24 01:50:04
Kroisegg;446m;14.1°;96 %;Nordost, 1 km/h;12 km/h;0.0 mm;0 %;1007.8 hPa;2022-05-24 01:50:04
Kleinzicken;267m;15.1°;91 %;Nordwest, 4 km/h;22 km/h;2.1 mm;0 %;1007.6 hPa;2022-05-24 01:50:04
Wörterberg;404m;14.6°;95 %;Nordwest, 8 km/h;23 km/h;1.8 mm;0 %;1007.5 hPa;2022-05-24 01:50:04
Güssing;217m;16.8°;77 %;Südost, 8 km/h;21 km/h;1.9 mm;0 %;1006.6 hPa;2022-05-24 01:50:04
Bruckneudorf;166m;15.6°;79 %;West, 3 km/h;23 km/h;0.3 mm;0 %;1008.0 hPa;2022-05-24 02:50:04
Neusiedl am See;119m;15.5°;80 %;Nordwest, 7 km/h;18 km/h;0.4 mm;0 %;1008.3 hPa;2022-05-24 02:50:04
Podersdorf;116m;16.9°;71 %;West, 1 km/h;19 km/h;0.0 mm;0 %;n.v.;2022-05-24 02:50:04
Eisenstadt;182m;15.2°;89 %;Nord, 9 km/h;23 km/h;0.2 mm;0 %;1007.2 hPa;2022-05-24 02:50:04
Andau;119m;16.2°;72 %;Süd, 6 km/h;12 km/h;0.0 mm;0 %;1007.8 hPa;2022-05-24 02:50:04
Mattersburg;284m;15.1°;88 %;Südost, 4 km/h;19 km/h;0.2 mm;0 %;1007.6 hPa;2022-05-24 02:50:04
Neudorf/Landsee;429m;13.9°;92 %;Nord, 5 km/h;19 km/h;0.0 mm;0 %;n.v.;2022-05-24 02:50:04
Lutzmannsburg;200m;14.8°;92 %;West, 4 km/h;8 km/h;0.0 mm;0 %;1007.7 hPa;2022-05-24 02:50:04
Bernstein;633m;13.0°;95 %;West, 4 km/h;14 km/h;0.0 mm;0 %;1008.2 hPa;2022-05-24 02:50:04
Rechnitz;309m;14.5°;88 %;Nordwest, 7 km/h;22 km/h;0.0 mm;0 %;1007.8 hPa;2022-05-24 02:50:04
Bad Tatzmannsdorf;347m;14.6°;95 %;Nordwest, 1 km/h;4 km/h;0.1 mm;n.v.;n.v.;2022-05-24 02:50:04
Kroisegg;446m;14.3°;96 %;Nordwest, 6 km/h;9 km/h;0.4 mm;0 %;1007.8 hPa;2022-05-24 02:50:04
Kleinzicken;267m;14.8°;92 %;Nordwest, 4 km/h;20 km/h;0.1 mm;0 %;1007.8 hPa;2022-05-24 02:50:04
Wörterberg;404m;14.5°;95 %;Nordwest, 5 km/h;11 km/h;0.2 mm;0 %;1007.7 hPa;2022-05-24 02:50:04
Güssing;217m;15.8°;90 %;Nordwest, 5 km/h;14 km/h;0.0 mm;0 %;1007.3 hPa;2022-05-24 02:50:04
Bruckneudorf;166m;15.4°;80 %;Südost, 6 km/h;17 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-24 03:50:05
Neusiedl am See;119m;15.0°;82 %;Südost, 1 km/h;9 km/h;0.0 mm;0 %;1007.2 hPa;2022-05-24 03:50:05
Podersdorf;116m;16.2°;74 %;Nordost, 4 km/h;14 km/h;0.0 mm;0 %;n.v.;2022-05-24 03:50:05
Eisenstadt;182m;14.9°;92 %;Nord, 10 km/h;15 km/h;0.0 mm;0 %;1006.5 hPa;2022-05-24 03:50:05
Andau;119m;15.9°;79 %;Ost, 8 km/h;13 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-24 03:50:05
Mattersburg;284m;14.9°;88 %;Ost, 3 km/h;10 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-24 03:50:05
Neudorf/Landsee;429m;14.5°;90 %;West, 8 km/h;15 km/h;0.0 mm;0 %;n.v.;2022-05-24 03:50:05
Lutzmannsburg;200m;14.5°;96 %;Südost, 2 km/h;7 km/h;0.0 mm;0 %;1007.3 hPa;2022-05-24 03:50:05
Bernstein;633m;13.4°;97 %;Nordost, 7 km/h;12 km/h;0.1 mm;0 %;1007.1 hPa;2022-05-24 03:50:05
Rechnitz;309m;14.6°;92 %;Ost, 1 km/h;10 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-24 03:50:05
Bad Tatzmannsdorf;347m;14.4°;96 %;Nord, 3 km/h;6 km/h;0.6 mm;n.v.;n.v.;2022-05-24 03:50:05
Kroisegg;446m;14.2°;97 %;Süd, 2 km/h;10 km/h;0.6 mm;0 %;1007.0 hPa;2022-05-24 03:50:05
Kleinzicken;267m;14.6°;94 %;Südost, 6 km/h;16 km/h;0.6 mm;0 %;1006.9 hPa;2022-05-24 03:50:05
Wörterberg;404m;14.7°;92 %;Nord, 4 km/h;14 km/h;1.1 mm;0 %;1006.5 hPa;2022-05-24 03:50:05
Güssing;217m;15.4°;95 %;Nordost, 6 km/h;23 km/h;0.3 mm;0 %;1007.2 hPa;2022-05-24 03:50:05
Bruckneudorf;166m;14.7°;85 %;Ost, 8 km/h;13 km/h;0.0 mm;0 %;1006.6 hPa;2022-05-24 04:50:03
Neusiedl am See;119m;15.1°;85 %;Südost, 4 km/h;7 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-24 04:50:03
Podersdorf;116m;16.3°;75 %;Südost, 6 km/h;11 km/h;0.0 mm;0 %;n.v.;2022-05-24 04:50:03
Eisenstadt;182m;15.1°;88 %;Nord, 7 km/h;11 km/h;0.0 mm;0 %;1006.5 hPa;2022-05-24 04:50:03
Andau;119m;15.8°;77 %;Ost, 5 km/h;23 km/h;0.0 mm;0 %;1007.1 hPa;2022-05-24 04:50:03
Mattersburg;284m;15.0°;87 %;Süd, 7 km/h;9 km/h;0.1 mm;0 %;1006.7 hPa;2022-05-24 04:50:03
Neudorf/Landsee;429m;14.5°;94 %;West, 3 km/h;8 km/h;0.3 mm;0 %;n.v.;2022-05-24 04:50:03
Lutzmannsburg;200m;14.3°;96 %;West, 4 km/h;14 km/h;0.7 mm;0 %;1007.3 hPa;2022-05-24 04:50:03
Bernstein;633m;13.6°;97 %;West, 3 km/h;17 km/h;0.5 mm;0 %;1008.0 hPa;2022-05-24 04:50:03
Rechnitz;309m;14.5°;94 %;West, 5 km/h;10 km/h;0.8 mm;0 %;1008.1 hPa;2022-05-24 04:50:03
Bad Tatzmannsdorf;347m;14.5°;96 %;Südost, 1 km/h;13 km/h;0.4 mm;n.v.;n.v.;2022-05-24 04:50:03
Kroisegg;446m;14.3°;97 %;Südost, 1 km/h;9 km/h;0.0 mm;0 %;1007.9 hPa;2022-05-24 04:50:03
Kleinzicken;267m;14.6°;94 %;West, 7 km/h;15 km/h;0.7 mm;0 %;1008.1 hPa;2022-05-24 04:50:03
Wörterberg;404m;14.6°;96 %;Ost, 5 km/h;17 km/h;0.0 mm;0 %;1007.2 hPa;2022-05-24 04:50:03
Güssing;217m;15.4°;95 %;Südwest, 3 km/h;14 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-24 04:50:03
Bruckneudorf;166m;14.8°;81 %;Ost, 9 km/h;16 km/h;0.0 mm;0 %;1006.9 hPa;2022-05-24 05:50:03
Neusiedl am See;119m;15.2°;82 %;Ost, 2 km/h;7 km/h;0.1 mm;0 %;1007.2 hPa;2022-05-24 05:50:03
Podersdorf;116m;16.0°;78 %;Südost, 5 km/h;13 km/h;0.0 mm;0 %;n.v.;2022-05-24 05:50:03
Eisenstadt;182m;14.5°;94 %;Nord, 8 km/h;13 km/h;0.4 mm;0 %;1006.8 hPa;2022-05-24 05:50:03
Andau;119m;15.8°;79 %;Südost, 7 km/h;13 km/h;0.0 mm;0 %;1007.5 hPa;2022-05-24 05:50:03
Mattersburg;284m;14.7°;91 %;Ost, 1 km/h;11 km/h;0.3 mm;0 %;1006.7 hPa;2022-05-24 05:50:03
Neudorf/Landsee;429m;14.4°;94 %;Nordwest, 4 km/h;10 km/h;0.2 mm;0 %;n.v.;2022-05-24 05:50:03
Lutzmannsburg;200m;14.3°;98 %;Nordwest, 2 km/h;7 km/h;0.7 mm;0 %;1007.1 hPa;2022-05-24 05:50:03
Bernstein;633m;13.7°;97 %;Nordwest, 5 km/h;14 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-24 05:50:03
Rechnitz;309m;14.7°;96 %;Südwest, 4 km/h;10 km/h;0.0 mm;0 %;1006.8 hPa;2022-05-24 05:50:03
Bad Tatzmannsdorf;347m;14.3°;97 %;Nord, 7 km/h;9 km/h;0.1 mm;n.v.;n.v.;2022-05-24 05:50:03
Kroisegg;446m;14.0°;98 %;Nordwest, 2 km/h;12 km/h;0.2 mm;0 %;1006.9 hPa;2022-05-24 05:50:03
Kleinzicken;267m;14.7°;94 %;Nord, 3 km/h;12 km/h;0.0 mm;0 %;1006.6 hPa;2022-05-24 05:50:03
Wörterberg;404m;14.4°;96 %;Nord, 8 km/h;19 km/h;0.4 mm;0 %;1006.5 hPa;2022-05-24 05:50:03
Güssing;217m;15.4°;96 %;Süd, 6 km/h;22 km/h;0.9 mm;0 %;1007.1 hPa;2022-05-24 05:50:03
Bruckneudorf;166m;14.8°;85 %;Ost, 9 km/h;18 km/h;0.0 mm;0 %;1007.3 hPa;2022-05-24 06:50:04
Neusiedl am See;119m;15.2°;82 %;Ost, 5 km/h;10 km/h;0.1 mm;0 %;1007.5 hPa;2022-05-24 06:50:04
Podersdorf;116m;15.7°;83 %;Ost, 4 km/h;10 km/h;0.0 mm;0 %;n.v.;2022-05-24 06:50:04
Eisenstadt;182m;15.2°;89 %;Nordost, 9 km/h;14 km/h;0.0 mm;0 %;1006.7 hPa;2022-05-24 06:50:04
Andau;119m;15.2°;84 %;Ost, 9 km/h;14 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-24 06:50:04
Mattersburg;284m;14.2°;89 %;Nordost, 2 km/h;10 km/h;0.0 mm;0 %;1007.0 hPa;2022-05-24 06:50:04
Neudorf/Landsee;429m;14.3°;96 %;Nord, 3 km/h;7 km/h;0.0 mm;0 %;n.v.;2022-05-24 06:50:04
Lutzmannsburg;200m;14.4°;98 %;Südost, 3 km/h;7 km/h;0.0 mm;0 %;1007.2 hPa;2022-05-24 06:50:04
Bernstein;633m;14.3°;93 %;Nordost, 10 km/h;17 km/h;0.0 mm;0 %;1006.7 hPa;2022-05-24 06:50:04
Rechnitz;309m;14.2°;99 %;Südost, 2 km/h;17 km/h;0.1 mm;0 %;1008.0 hPa;2022-05-24 06:50:04
Bad Tatzmannsdorf;347m;14.6°;97 %;Süd, 4 km/h;12 km/h;0.1 mm;n.v.;n.v.;2022-05-24 06:50:04
Kroisegg;446m;14.0°;97 %;Nordwest, 1 km/h;7 km/h;0.1 mm;0 %;1007.4 hPa;2022-05-24 06:50:04
Kleinzicken;267m;14.8°;95 %;Südost, 3 km/h;16 km/h;0.1 mm;0 %;1007.9 hPa;2022-05-24 06:50:04
Wörterberg;404m;14.5°;98 %;Süd, 8 km/h;20 km/h;0.1 mm;0 %;1007.4 hPa;2022-05-24 06:50:04
Güssing;217m;15.3°;97 %;Ost, 5 km/h;10 km/h;0.4 mm;0 %;1007.4 hPa;2022-05-24 06:50:04
Bruckneudorf;166m;15.0°;85 %;Ost, 10 km/h;19 km/h;0.0 mm;0 %;1007.7 hPa;2022-05-24 07:50:03
Neusiedl am See;119m;15.8°;80 %;Ost, 3 km/h;11 km/h;0.0 mm;0 %;1008.1 hPa;2022-05-24 07:50:03
Podersdorf;116m;15.9°;80 %;Ost, 7 km/h;14 km/h;0.0 mm;0 %;n.v.;2022-05-24 07:50:03
Eisenstadt;182m;15.5°;86 %;Ost, 12 km/h;20 km/h;0.0 mm;0 %;1007.5 hPa;2022-05-24 07:50:03
Andau;119m;15.3°;86 %;Ost, 8 km/h;15 km/h;0.0 mm;0 %;1008.3 hPa;2022-05-24 07:50:03
Mattersburg;284m;14.7°;90 %;Ost, 4 km/h;9 km/h;0.1 mm;0 %;1007.7 hPa;2022-05-24 07:50:03
Neudorf/Landsee;429m;14.1°;97 %;Süd, 5 km/h;14 km/h;0.0 mm;0 %;n.v.;2022-05-24 07:50:03
Lutzmannsburg;200m;14.9°;91 %;Süd, 2 km/h;11 km/h;0.0 mm;0 %;1007.7 hPa;2022-05-24 07:50:03
Bernstein;633m;13.1°;100 %;Südwest, 4 km/h;18 km/h;0.0 mm;0 %;1008.3 hPa;2022-05-24 07:50:03
Rechnitz;309m;15.4°;94 %;West, 5 km/h;11 km/h;0.0 mm;3 %;1008.1 hPa;2022-05-24 07:50:03
Bad Tatzmannsdorf;347m;14.9°;98 %;Nord, 2 km/h;14 km/h;0.0 mm;n.v.;n.v.;2022-05-24 07:50:03
Kroisegg;446m;15.3°;97 %;Nordwest, 4 km/h;17 km/h;0.0 mm;0 %;1008.0 hPa;2022-05-24 07:50:03
Kleinzicken;267m;15.7°;93 %;Nord, 3 km/h;8 km/h;0.0 mm;0 %;1008.1 hPa;2022-05-24 07:50:03
Wörterberg;404m;15.4°;94 %;West, 1 km/h;12 km/h;0.0 mm;0 %;1007.6 hPa;2022-05-24 07:50:03
Güssing;217m;15.8°;95 %;Ost, 3 km/h;9 km/h;0.0 mm;0 %;1007.8 hPa;2022-05-24 07:50:03
Bruckneudorf;166m;15.8°;82 %;Ost, 13 km/h;25 km/h;0.0 mm;0 %;1008.6 hPa;2022-05-24 08:50:04
Neusiedl am See;119m;17.0°;76 %;Südost, 4 km/h;14 km/h;0.0 mm;0 %;1008.7 hPa;2022-05-24 08:50:04
Podersdorf;116m;16.6°;78 %;Südost, 9 km/h;17 km/h;0.0 mm;0 %;n.v.;2022-05-24 08:50:04
Eisenstadt;182m;16.9°;79 %;Ost, 10 km/h;19 km/h;0.0 mm;43 %;1008.0 hPa;2022-05-24 08:50:04
Andau;119m;16.3°;82 %;Ost, 10 km/h;16 km/h;0.0 mm;0 %;1009.1 hPa;2022-05-24 08:50:04
Mattersburg;284m;16.1°;88 %;Ost, 1 km/h;7 km/h;0.0 mm;10 %;1008.3 hPa;2022-05-24 08:50:04
Neudorf/Landsee;429m;16.9°;88 %;Nordwest, 3 km/h;13 km/h;0.0 mm;56 %;n.v.;2022-05-24 08:50:04
